DataHora;Instancia;Algoritmo;Alpha;Iteracoes;Bloco;Semente;Tempo(s);ValorObtido
2026-07-13 10:15:46;b05;Randomizado_alpha_0.4;0.4;30;-;100403;0.010570;61.000000
2026-07-13 10:15:46;b05;Reativo_0.2_0.3_0.4;-;300;30;100403;0.101241;61.000000
2026-07-13 10:15:46;b05;Guloso;-;-;-;100404;0.082566;64.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.2;0.2;30;-;100404;0.011350;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.3;0.3;30;-;100404;0.010114;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.4;0.4;30;-;100404;0.009548;61.000000
2026-07-13 10:15:46;b05;Reativo_0.2_0.3_0.4;-;300;30;100404;0.098208;61.000000
2026-07-13 10:15:46;b05;Guloso;-;-;-;100405;0.079130;64.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.2;0.2;30;-;100405;0.013029;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.3;0.3;30;-;100405;0.013584;61.000000
2026-07-13 10:15:46;b05;Randomizado_alpha_0.4;0.4;30;-;100405;0.013698;61.000000
2026-07-13 10:15:47;b05;Reativo_0.2_0.3_0.4;-;300;30;100405;0.107646;61.000000
2026-07-13 10:15:47;b05;Guloso;-;-;-;100406;0.083053;64.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.2;0.2;30;-;100406;0.010023;62.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.3;0.3;30;-;100406;0.010793;61.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.4;0.4;30;-;100406;0.010494;62.000000
2026-07-13 10:15:47;b05;Reativo_0.2_0.3_0.4;-;300;30;100406;0.108340;61.000000
2026-07-13 10:15:47;b05;Guloso;-;-;-;100407;0.085848;64.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.2;0.2;30;-;100407;0.012696;62.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.3;0.3;30;-;100407;0.012716;62.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.4;0.4;30;-;100407;0.015040;61.000000
2026-07-13 10:15:47;b05;Reativo_0.2_0.3_0.4;-;300;30;100407;0.106596;61.000000
